ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
Series de índices enlazados  de la producción nominal y real,  ventas nominal y real  y empleo (total y por área funcional),  total industria;;;;;;;;;;
Enero 2001  - noviembre 2021p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicación enero 14 de 2022;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
;;;;;;;;;Personal según área funcional;
Dominios;AÑO;MES ;Clases industriales;"Producción 
nominal";"Producción 
real";"Ventas
nominal";"Ventas
reales";Empleo  Total;"Personal de 
Administración";"Personal de 
Producción"
T_IND;2001;1;Total Industria;31,9;61,2;32;60,8;105,1;108,1;103,8
T_IND;2001;2;Total Industria;33;62,2;32,7;61,9;109;109,7;108,6
T_IND;2001;3;Total Industria;36,7;68,3;35,5;66,1;109,1;109,6;108,8
T_IND;2001;4;Total Industria;34,1;62,9;34;62,6;109,8;110,3;109,6
T_IND;2001;5;Total Industria;38,4;70;37,3;68;110;110,3;109,8
T_IND;2001;6;Total Industria;35,9;66,8;35,9;67,6;109,5;110,4;109
T_IND;2001;7;Total Industria;36,5;67,2;36;66,4;109,2;109,7;108,8
T_IND;2001;8;Total Industria;37,2;68,8;36,7;67,7;109,7;110,5;109,2
T_IND;2001;9;Total Industria;38,2;70,2;36,9;68,1;110,1;110,1;110
T_IND;2001;10;Total Industria;39,5;73,9;38,4;71,7;110,2;110,5;110
T_IND;2001;11;Total Industria;38,6;72,8;40,4;76,2;110,6;110,3;110,6
T_IND;2001;12;Total Industria;35,6;67,9;38,4;72,3;107,1;109,5;106,1
T_IND;2002;1;Total Industria;33,5;62,1;33;60,8;100,4;104,9;98,5
T_IND;2002;2;Total Industria;33,9;62,5;33,2;61,5;104;106,2;102,9
T_IND;2002;3;Total Industria;34,1;61,5;33,3;60,1;104,1;106,2;103,1
T_IND;2002;4;Total Industria;38;68,1;38,3;68,5;104,2;106,2;103,3
T_IND;2002;5;Total Industria;39,6;70,2;38,8;68,8;104,2;105,8;103,3
T_IND;2002;6;Total Industria;36,5;65,5;36,6;66,4;103,5;105,2;102,7
T_IND;2002;7;Total Industria;38,8;68,2;39,3;69,1;103,7;104,9;103,1
T_IND;2002;8;Total Industria;39,3;68,6;39,4;68,5;105,2;105,9;104,8
T_IND;2002;9;Total Industria;40,6;69,5;40,6;69,8;105,6;105,5;105,6
T_IND;2002;10;Total Industria;43,7;74,8;42,4;72,5;106,4;106;106,5
T_IND;2002;11;Total Industria;41,2;71,2;43,9;75,7;106,5;105,4;107
T_IND;2002;12;Total Industria;40,4;69,8;44,2;75,3;104;105,5;103,3
T_IND;2003;1;Total Industria;39;63,3;39,1;62,9;99,3;100,7;98,8
T_IND;2003;2;Total Industria;39,4;63,2;39;62,7;102,2;102;102,3
T_IND;2003;3;Total Industria;43,3;67,9;42,6;66,6;103;102,5;103,1
T_IND;2003;4;Total Industria;40,7;64;41,5;65,3;102,7;102,5;102,7
T_IND;2003;5;Total Industria;44,5;70,1;43,5;68,3;103,4;104,2;103
T_IND;2003;6;Total Industria;40,3;64,4;39,9;64,8;102,9;103,7;102,4
T_IND;2003;7;Total Industria;45,3;71,2;45,5;71,8;101,8;102;101,7
T_IND;2003;8;Total Industria;42,8;67,2;42,7;67;104,1;102,9;104,6
T_IND;2003;9;Total Industria;46,6;73,4;45,9;72,6;105,3;103,1;106,3
T_IND;2003;10;Total Industria;47,8;75,9;47,5;75,1;106,4;104,1;107,3
T_IND;2003;11;Total Industria;47,4;74,5;48,5;76,4;107,2;105,1;108,1
T_IND;2003;12;Total Industria;45,4;72,3;49;77,3;104,8;104,7;104,8
T_IND;2004;1;Total Industria;41,6;63,5;41,7;62,8;98,7;98,8;98,8
T_IND;2004;2;Total Industria;44,1;66,6;43,8;66,6;101,7;100,4;102,3
T_IND;2004;3;Total Industria;49,3;73,7;48,4;72,4;102,8;101;103,6
T_IND;2004;4;Total Industria;44,6;66,7;45,3;67,5;103;100,8;103,9
T_IND;2004;5;Total Industria;49,5;72,5;47,9;70,1;104,2;101,2;105,5
T_IND;2004;6;Total Industria;48,7;72,1;48,5;73,1;103,8;101,2;105
T_IND;2004;7;Total Industria;50,4;74;49,7;73,5;103,8;101,2;105
T_IND;2004;8;Total Industria;49,3;73,6;49,1;73,4;104,9;100,7;106,7
T_IND;2004;9;Total Industria;51,6;76,2;49,4;73,7;105,7;101;107,8
T_IND;2004;10;Total Industria;53,8;78,8;53,3;78,1;106,6;102,1;108,6
T_IND;2004;11;Total Industria;54,1;80,3;55,2;82,2;107,2;102,6;109,3
T_IND;2004;12;Total Industria;51,6;78;55,3;83,2;104,6;101;106,3
T_IND;2005;1;Total Industria;45,8;66,9;45,6;66;99,6;97,6;100,7
T_IND;2005;2;Total Industria;48,4;69,9;48;69,6;103,1;99,4;104,8
T_IND;2005;3;Total Industria;51,9;73;50,9;71,9;102,8;99,3;104,4
T_IND;2005;4;Total Industria;53,3;75,6;53;75,3;104;100,7;105,4
T_IND;2005;5;Total Industria;53,7;75,7;52,1;73,7;104,2;101,5;105,3
T_IND;2005;6;Total Industria;52,2;75,4;53,3;78;103,7;101,2;104,8
T_IND;2005;7;Total Industria;51,9;73,9;50,3;72,7;103,9;101,3;105
T_IND;2005;8;Total Industria;55,2;79,1;53,8;77,4;105,4;102,2;106,8
T_IND;2005;9;Total Industria;55,9;80,1;54,8;79,5;105,7;101;107,8
T_IND;2005;10;Total Industria;55,4;80,4;54;78,4;106,7;101,8;108,9
T_IND;2005;11;Total Industria;55,6;81,4;57,4;84,5;107,1;102;109,5
T_IND;2005;12;Total Industria;53,4;78,7;57,9;85,2;105,2;101,4;107
T_IND;2006;1;Total Industria;49,6;70,6;48,8;69,2;99,4;96,8;100,7
T_IND;2006;2;Total Industria;51,3;73,6;52,1;74,8;103,2;98,3;105,5
